tpep_pickup_datetime,region,counts
2016-04-16 19:00:00,1231,1089
2016-04-16 20:00:00,1231,1013
2016-04-16 21:00:00,1231,1037
2016-04-16 22:00:00,1231,1134
2016-04-16 23:00:00,1231,1033
2016-04-17 00:00:00,1231,926
2016-04-17 01:00:00,1231,770
2016-04-17 02:00:00,1231,545
2016-04-17 03:00:00,1231,454
2016-04-17 04:00:00,1231,382
2016-04-17 05:00:00,1231,151
2016-04-17 06:00:00,1231,167
2016-04-17 07:00:00,1231,248
2016-04-17 08:00:00,1231,373
2016-04-17 09:00:00,1231,554
2016-04-17 10:00:00,1231,638
2016-04-17 11:00:00,1231,789
2016-04-17 12:00:00,1231,762
2016-04-17 13:00:00,1231,748
2016-04-17 14:00:00,1231,795
2016-04-17 15:00:00,1231,773
2016-04-17 16:00:00,1231,726
2016-04-17 17:00:00,1231,757
2016-04-17 18:00:00,1231,894
2016-04-17 19:00:00,1231,800
2016-04-17 20:00:00,1231,764
2016-04-17 21:00:00,1231,713
2016-04-17 22:00:00,1231,582
2016-04-17 23:00:00,1231,365
2016-04-18 00:00:00,1231,298
2016-04-18 01:00:00,1231,152
2016-04-18 02:00:00,1231,75
2016-04-18 03:00:00,1231,72
2016-04-18 04:00:00,1231,90
2016-04-18 05:00:00,1231,115
2016-04-18 06:00:00,1231,323
2016-04-18 07:00:00,1231,450
2016-04-18 08:00:00,1231,721
2016-04-18 09:00:00,1231,773
2016-04-18 10:00:00,1231,765
2016-04-18 11:00:00,1231,829
2016-04-18 12:00:00,1231,912
2016-04-18 13:00:00,1231,918
2016-04-18 14:00:00,1231,1026
2016-04-18 15:00:00,1231,944
2016-04-18 16:00:00,1231,862
2016-04-18 17:00:00,1231,951
2016-04-18 18:00:00,1231,1163
2016-04-18 19:00:00,1231,1266
2016-04-18 20:00:00,1231,1253
2016-04-18 21:00:00,1231,1125
2016-04-18 22:00:00,1231,876
2016-04-18 23:00:00,1231,597
2016-04-19 00:00:00,1231,397
2016-04-19 01:00:00,1231,210
2016-04-19 02:00:00,1231,133
2016-04-19 03:00:00,1231,90
2016-04-19 04:00:00,1231,79
2016-04-19 05:00:00,1231,115
2016-04-19 06:00:00,1231,305
2016-04-19 07:00:00,1231,530
2016-04-19 08:00:00,1231,810
2016-04-19 09:00:00,1231,856
2016-04-19 10:00:00,1231,812
2016-04-19 11:00:00,1231,923
2016-04-19 12:00:00,1231,983
2016-04-19 13:00:00,1231,1037
2016-04-19 14:00:00,1231,1024
2016-04-19 15:00:00,1231,1002
2016-04-19 16:00:00,1231,747
2016-04-19 17:00:00,1231,813
2016-04-19 18:00:00,1231,1066
2016-04-19 19:00:00,1231,1348
2016-04-19 20:00:00,1231,1344
2016-04-19 21:00:00,1231,1026
2016-04-19 22:00:00,1231,843
2016-04-19 23:00:00,1231,735
2016-04-20 00:00:00,1231,518
2016-04-20 01:00:00,1231,254
2016-04-20 02:00:00,1231,119
2016-04-20 03:00:00,1231,100
2016-04-20 04:00:00,1231,64
2016-04-20 05:00:00,1231,151
2016-04-20 06:00:00,1231,324
2016-04-20 07:00:00,1231,589
2016-04-20 08:00:00,1231,856
2016-04-20 09:00:00,1231,1024
2016-04-20 10:00:00,1231,911
2016-04-20 11:00:00,1231,1027
2016-04-20 12:00:00,1231,1009
2016-04-20 13:00:00,1231,980
2016-04-20 14:00:00,1231,1129
2016-04-20 15:00:00,1231,910
2016-04-20 16:00:00,1231,715
2016-04-20 17:00:00,1231,793
2016-04-20 18:00:00,1231,1066
2016-04-20 19:00:00,1231,1173
2016-04-20 20:00:00,1231,1256
2016-04-20 21:00:00,1231,1069
2016-04-20 22:00:00,1231,889
2016-04-20 23:00:00,1231,843
2016-04-21 00:00:00,1231,533
2016-04-21 01:00:00,1231,320
2016-04-21 02:00:00,1231,155
2016-04-21 03:00:00,1231,100
2016-04-21 04:00:00,1231,126
2016-04-21 05:00:00,1231,140
2016-04-21 06:00:00,1231,357
2016-04-21 07:00:00,1231,592
2016-04-21 08:00:00,1231,870
2016-04-21 09:00:00,1231,931
2016-04-21 10:00:00,1231,849
2016-04-21 11:00:00,1231,925
2016-04-21 12:00:00,1231,935
2016-04-21 13:00:00,1231,988
2016-04-21 14:00:00,1231,1001
2016-04-21 15:00:00,1231,850
2016-04-21 16:00:00,1231,520
