tpep_pickup_datetime,counts
2016-06-23 04:00:00,97
2016-06-23 05:00:00,137
2016-06-23 06:00:00,348
2016-06-23 07:00:00,632
2016-06-23 08:00:00,869
2016-06-23 09:00:00,999
2016-06-23 10:00:00,1031
2016-06-23 11:00:00,1022
2016-06-23 12:00:00,1141
2016-06-23 13:00:00,1072
2016-06-23 14:00:00,1085
2016-06-23 15:00:00,900
2016-06-23 16:00:00,652
2016-06-23 17:00:00,710
2016-06-23 18:00:00,926
2016-06-23 19:00:00,1253
2016-06-23 20:00:00,1027
2016-06-23 21:00:00,949
2016-06-23 22:00:00,893
2016-06-23 23:00:00,974
2016-06-24 00:00:00,831
2016-06-24 01:00:00,474
2016-06-24 02:00:00,264
2016-06-24 03:00:00,179
2016-06-24 04:00:00,177
2016-06-24 05:00:00,183
2016-06-24 06:00:00,306
2016-06-24 07:00:00,489
2016-06-24 08:00:00,726
2016-06-24 09:00:00,827
2016-06-24 10:00:00,834
2016-06-24 11:00:00,916
2016-06-24 12:00:00,906
2016-06-24 13:00:00,783
2016-06-24 14:00:00,756
2016-06-24 15:00:00,699
2016-06-24 16:00:00,592
2016-06-24 17:00:00,612
2016-06-24 18:00:00,915
2016-06-24 19:00:00,1140
2016-06-24 20:00:00,975
2016-06-24 21:00:00,987
2016-06-24 22:00:00,1051
2016-06-24 23:00:00,1026
2016-06-25 00:00:00,907
2016-06-25 01:00:00,605
2016-06-25 02:00:00,433
2016-06-25 03:00:00,344
2016-06-25 04:00:00,259
2016-06-25 05:00:00,165
2016-06-25 06:00:00,170
2016-06-25 07:00:00,232
2016-06-25 08:00:00,327
2016-06-25 09:00:00,520
2016-06-25 10:00:00,615
2016-06-25 11:00:00,789
2016-06-25 12:00:00,859
2016-06-25 13:00:00,846
2016-06-25 14:00:00,847
2016-06-25 15:00:00,725
2016-06-25 16:00:00,712
2016-06-25 17:00:00,713
2016-06-25 18:00:00,875
2016-06-25 19:00:00,973
2016-06-25 20:00:00,741
2016-06-25 21:00:00,714
2016-06-25 22:00:00,876
2016-06-25 23:00:00,977
2016-06-26 00:00:00,926
2016-06-26 01:00:00,653
2016-06-26 02:00:00,490
2016-06-26 03:00:00,333
2016-06-26 04:00:00,287
2016-06-26 05:00:00,179
2016-06-26 06:00:00,152
2016-06-26 07:00:00,197
